Date,Inflation
01-05-79,4.959785523
01-06-79,5.562913907
01-07-79,7.020997376
01-08-79,8.763897973
01-09-79,8.054123711
01-10-79,7.320178231
01-11-79,8.211330363
01-12-79,11.70006464
01-01-80,11.73402868
01-02-80,12.10526316
01-03-80,12.32073012
01-04-80,11.23956326
01-05-80,12.70753512
01-06-80,11.85696361
01-07-80,11.58798283
01-08-80,10.28262177
01-09-80,10.73345259
01-10-80,11.20996441
01-11-80,11.64705882
01-12-80,9.085648149
01-01-81,10.73512252
01-02-81,13.32159624
01-03-81,12.59431225
01-04-81,13.85681293
01-05-81,13.31444759
01-06-81,13.74088615
01-07-81,13.46153846
01-08-81,14.34023991
01-09-81,13.40872375
01-10-81,13.33333333
01-11-81,12.4341412
01-12-81,12.73209549
01-01-82,11.69652266
01-02-82,9.580528224
01-03-82,8.81443299
01-04-82,7.505070993
01-05-82,6.7
01-06-82,7.051282051
01-07-82,6.924939468
01-08-82,7.486886028
01-09-82,7.264957265
01-10-82,6.729411764
01-11-82,7.357075914
01-12-82,8.047058823
01-01-83,7.830188679
01-02-83,9.168241966
01-03-83,9.853150166
01-04-83,10.70754717
01-05-83,12.79287723
01-06-83,13.40396131
01-07-83,13.17934783
01-08-83,12.51109139
01-09-83,13.28021248
01-10-83,13.62433862
01-11-83,13.09471846
01-12-83,12.45644599
01-01-84,13.77952756
01-02-84,12.16450216
01-03-84,11.12548512
01-04-84,10.01278228
01-05-84,7.852098048
01-06-84,7.676685621
01-07-84,8.1232493
01-08-84,6.742902208
01-09-84,6.33059789
01-10-84,6.131160264
01-11-84,6.059436511
01-12-84,5.189775368
01-01-85,4.421376394
01-02-85,4.284060209
01-03-85,5.044625533
01-04-85,6.274206042
01-05-85,6.741140216
01-06-85,5.582798944
01-07-85,5.144337528
01-08-85,5.467306982
01-09-85,5.071664829
01-10-85,5.557586837
01-11-85,5.895196506
01-12-85,7.142857143
01-01-86,6.958762887
01-02-86,8.216136195
01-03-86,8.865903214
01-04-86,8.236151604
01-05-86,8.516780946
01-06-86,8.57449089
01-07-86,8.623724041
01-08-86,8.721541156
01-09-86,9.233997902
01-10-86,9.594735019
01-11-86,9.828178694
01-12-86,9.209621993
01-01-87,9.397590361
01-02-87,8.378932969
01-03-87,7.533084493
01-04-87,7.474747475
01-05-87,7.981376787
01-06-87,8.687068114
01-07-87,8.360337006
01-08-87,9.536082474
01-09-87,10.18251681
01-10-87,9.481668774
01-11-87,9.105131414
01-12-87,9.314033984
01-01-88,9.439899308
01-02-88,9.182707479
01-03-88,9.750710003
01-04-88,10.40100251
01-05-88,9.670465045
01-06-88,9.355131699
01-07-88,9.80861244
01-08-88,8.676470588
01-09-88,8.195292066
01-10-88,9.757505774
01-11-88,9.686448726
01-12-88,8.7862272
01-01-89,8.006528633
01-02-89,8.568412308
01-03-89,8.661113655
01-04-89,7.888762769
01-05-89,8.046417695
01-06-89,7.151146212
01-07-89,6.640314143
01-08-89,7.208802962
01-09-89,7.625522525
01-10-89,5.389221557
01-11-89,4.761904762
01-12-89,5.421686747
01-01-90,5.454545454
01-02-90,6.060606061
01-03-90,6.626506024
01-04-90,7.784431138
01-05-90,7.692307692
01-06-90,8.823529412
01-07-90,9.88372093
01-08-90,9.195402299
01-09-90,8.522727273
01-10-90,10.79545455
01-11-90,12.5
01-12-90,13.71428571
01-01-91,16.09195402
